;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
0;13.7;11.6;2.1;5.7;20.1;0.0;14.0;2.1;42.9;0.0;39.5;12.6;37.2;0.0;37.2;8.3;12.6;18.8;17.9;18.8;10.5;11.6;2.1;42.9;0.0;42.9;37.2;18.8;11.6;2.1;42.9;0.0;42.9;37.2;18.8;42.9;11.6;2.1;42.9;0.0;42.9;37.2;18.8;42.9;42.9;11.6;2.1;42.9;0.0;42.9;37.2;18.8;42.9;42.9;42.9;14.0;17.4;42.9;23.4;42.9;33.8;18.8;42.9;42.9;42.9;42.9;11.6;2.1;42.9;0.0;42.9;37.2;18.8;42.9;42.9;42.9;42.9;42.9;11.6;2.1;42.9;0.0;42.9;37.2;18.8;42.9;42.9;42.9;42.9;42.9;42.9;11.6;2.1;42.9;0.0;42.9;37.2;18.8;42.9;42.9;42.9;42.9;42.9;42.9;42.9
1;8.9;13.8;4.6;8.9;0.0;1.3;18.5;0.0;1.3;0.0;17.6;0.0;1.3;35.2;0.0;14.0;8.4;13.4;8.8;3.7;8.8;11.4;2.5;3.8;2.5;2.5;35.2;11.3;8.9;8.9;10.2;15.8;14.8;40.6;20.9;18.3;8.9;0.0;1.3;40.6;0.0;35.2;8.8;2.5;15.8;12.5;-0.6;4.9;3.0;0.0;3.6;8.2;5.5;18.8;3.0;9.4;0.5;1.8;0.5;0.5;0.5;9.3;3.0;16.3;0.5;3.5;12.5;6.7;8.0;6.7;3.1;3.6;11.9;9.2;22.5;6.7;9.7;7.2;8.9;0.0;1.3;40.6;0.0;35.2;8.8;2.5;15.8;40.6;3.0;0.5;6.7;8.9;0.0;1.3;40.6;0.0;35.2;8.8;2.5;15.8;40.6;3.0;0.5;6.7;40.6
2;14.8;20.3;13.6;23.1;2.5;23.2;4.2;-1.8;31.1;32.0;24.5;11.4;16.6;0.0;0.0;4.7;0.5;11.9;-2.0;-2.0;4.3;4.2;-1.8;9.6;43.1;40.6;0.0;-2.0;4.2;-1.8;9.6;43.1;40.6;0.0;-2.0;58.0;4.2;-1.8;9.6;43.1;40.6;0.0;-2.0;58.0;58.0;8.9;-1.8;23.2;13.6;17.6;5.8;6.3;17.6;17.6;17.6;3.9;-2.4;9.0;43.1;-0.9;0.0;-2.6;-0.9;-0.9;-0.9;18.5;4.2;2.5;18.1;4.3;8.5;4.3;2.3;8.5;8.5;8.5;21.9;7.6;4.2;-1.8;9.6;43.1;40.6;0.0;-2.0;58.0;58.0;58.0;17.6;-0.9;8.5;4.2;-1.8;9.6;43.1;40.6;0.0;-2.0;58.0;58.0;58.0;17.6;-0.9;8.5;58.0
3;38.5;5.6;5.6;37.6;37.6;5.6;36.3;36.3;6.6;34.5;5.0;5.0;2.8;5.0;5.0;1.3;1.3;3.3;1.3;6.0;-3.1;-0.6;-0.6;5.3;-0.6;6.5;-0.7;-1.2;0.6;0.6;6.2;0.6;1.7;-0.6;1.9;-1.9;36.7;36.7;5.6;35.3;34.6;5.0;1.3;-2.5;0.6;11.4;11.4;3.1;11.4;9.5;5.0;-2.1;-0.6;-1.9;8.4;5.6;5.6;5.6;5.6;15.8;17.0;6.9;9.9;5.8;5.6;16.0;-0.7;-0.7;4.9;-0.7;36.3;5.0;0.6;-1.3;-0.1;-0.7;11.6;4.9;38.5;38.5;5.6;37.6;36.3;5.0;1.3;-0.6;0.6;36.7;11.4;5.6;-0.7;38.5;38.5;5.6;37.6;36.3;5.0;1.3;-0.6;0.6;36.7;11.4;5.6;-0.7;38.5
4;10.7;10.7;8.3;2.4;8.3;9.9;29.3;14.9;14.7;5.0;2.4;8.3;9.9;47.4;5.0;10.9;8.5;8.5;-0.1;6.6;0.1;6.1;12.0;5.3;2.5;12.5;2.5;8.2;2.4;8.1;8.1;8.2;18.6;10.6;5.8;8.1;2.4;8.3;9.9;53.9;5.0;47.4;0.1;2.5;5.2;2.4;8.3;9.9;53.9;5.0;47.6;0.1;2.5;10.6;53.9;2.4;8.3;9.9;53.9;5.0;47.6;0.1;2.5;10.6;53.9;53.9;5.7;8.6;13.2;3.6;5.3;3.6;0.4;6.1;14.2;3.6;3.6;3.6;4.0;8.5;0.0;3.1;0.0;9.7;0.1;0.7;-0.2;3.3;9.7;9.7;10.0;2.4;8.3;9.9;53.9;5.0;47.6;0.1;2.5;10.6;53.9;53.9;53.9;3.6;9.7
5;1.6;8.2;1.6;1.0;3.1;4.2;5.5;12.5;13.2;0.0;0.0;1.6;2.8;0.0;0.0;6.4;0.8;2.0;4.3;5.5;2.0;1.0;1.6;2.3;1.0;10.2;0.2;-1.0;8.2;1.6;0.0;1.0;5.5;4.9;-0.8;0.0;8.2;1.6;0.0;1.0;5.5;4.9;-0.8;0.0;47.0;10.1;3.2;0.0;6.0;17.5;1.6;-0.8;1.6;9.1;9.1;14.0;7.0;0.4;1.4;10.9;5.3;5.0;0.4;5.8;5.8;14.9;24.4;1.6;0.0;17.2;5.5;0.0;15.4;16.2;16.2;16.2;0.0;22.0;8.2;1.6;0.0;1.0;5.5;4.9;-0.8;0.0;47.0;47.0;9.1;5.8;16.2;8.2;1.6;0.0;1.0;5.5;4.9;-0.8;0.0;47.0;47.0;9.1;5.8;16.2;47.0
6;17.8;29.3;10.4;2.2;1.1;7.7;16.6;12.8;31.4;5.5;16.6;2.7;10.4;23.9;23.7;16.6;2.1;7.1;26.6;23.7;-0.6;11.2;1.1;8.4;-1.6;29.5;-1.6;6.2;12.8;11.2;14.6;5.0;12.8;23.6;7.9;11.2;16.6;10.4;7.7;14.9;0.0;22.8;0.0;6.2;17.4;16.6;2.7;7.7;26.6;23.7;45.0;-0.6;-1.6;32.1;42.9;11.2;1.1;8.8;-1.6;11.2;-1.6;-2.2;-1.6;16.2;3.4;-1.6;11.5;-2.4;2.6;0.0;23.7;-5.1;-5.7;-6.7;32.1;-5.1;-5.1;-6.7;16.6;2.7;7.7;26.6;23.7;45.0;-0.6;-1.6;32.1;42.9;54.6;-1.6;-5.1;3.8;2.7;7.7;26.6;10.9;36.7;-0.6;-1.6;19.3;39.9;49.0;-1.6;-5.1;49.0
7;2.8;2.8;2.8;0.0;1.4;1.4;0.0;6.5;6.2;16.7;2.8;9.0;7.3;0.0;0.0;3.7;6.5;2.1;0.0;3.7;0.0;4.7;3.1;3.1;0.3;20.7;0.3;0.9;0.8;6.5;3.6;7.8;3.7;7.8;3.7;13.5;0.0;2.8;2.8;27.9;20.4;0.0;3.8;3.1;4.5;4.5;7.0;7.3;35.0;24.9;4.5;3.5;4.5;5.1;4.2;0.0;2.8;2.8;33.1;20.4;0.0;3.1;0.3;13.2;31.8;4.2;0.0;2.8;2.8;33.1;20.4;0.0;3.1;0.3;13.2;31.8;4.2;36.9;0.0;2.8;2.8;33.1;20.4;0.0;3.6;0.3;13.2;31.8;4.2;36.9;36.9;0.0;2.8;2.8;33.1;20.4;0.0;3.1;0.3;13.2;31.8;4.2;36.9;36.9;36.9
8;0.0;-5.0;-5.0;4.0;4.0;-5.0;-0.1;-2.8;-3.1;14.2;-0.1;0.0;0.4;23.7;14.2;3.4;4.3;0.1;26.1;18.5;7.8;7.4;4.0;-5.0;4.0;-0.1;4.0;12.6;-6.0;-6.0;-15.0;-6.0;-6.0;-6.0;3.1;-2.0;1.4;-6.5;-5.1;3.2;2.9;10.4;15.0;2.5;-4.3;-0.1;0.0;-5.0;23.7;14.2;30.7;12.9;4.0;-6.0;11.8;-0.1;5.1;0.5;0.5;-0.1;0.4;5.1;3.9;-6.1;0.0;5.5;-0.1;-5.0;-5.0;-6.0;-6.0;-1.5;17.4;0.0;-6.0;0.0;-4.5;0.0;0.0;0.0;-5.0;23.7;14.2;30.7;12.9;4.0;-6.0;10.1;34.6;5.6;-4.5;-0.1;0.0;-5.0;23.7;14.2;30.7;12.9;4.0;-6.0;11.8;34.7;5.5;-4.5;34.6
9;1.3;0.0;1.3;0.0;11.1;-1.9;0.0;8.0;-1.5;37.5;0.0;1.3;-0.4;0.9;0.9;0.0;5.6;8.5;0.0;11.4;0.0;2.7;8.6;-0.4;0.4;38.5;0.9;2.2;-1.5;-0.2;-1.5;0.7;-1.5;8.3;7.0;1.5;0.0;3.4;0.0;57.4;34.4;0.9;0.0;0.4;-1.5;3.8;1.3;5.1;3.7;1.5;2.2;2.2;2.6;2.0;7.5;0.0;4.7;0.0;59.1;38.5;0.9;0.0;0.4;-1.5;59.7;8.8;0.0;4.7;0.0;59.1;38.5;0.9;0.0;0.4;-1.5;59.7;8.8;59.8;0.0;4.7;0.0;59.1;38.5;0.9;0.0;0.4;-1.5;59.7;8.8;59.8;59.8;0.0;4.7;0.0;59.1;38.5;0.9;0.0;0.4;-1.5;59.7;8.8;59.8;59.8;59.8
10;1.2;13.3;6.7;1.2;0.0;4.4;9.5;14.5;19.2;0.0;8.9;20.2;6.7;7.3;0.0;1.2;2.0;5.2;13.5;5.0;5.0;6.6;5.4;18.0;5.9;0.0;14.7;10.3;1.2;0.0;4.4;13.9;5.0;13.9;1.2;5.4;0.0;0.0;6.7;19.8;0.0;5.0;5.0;5.9;0.0;8.3;7.7;5.2;7.1;0.8;17.0;0.8;16.8;0.8;34.8;1.2;0.0;4.4;40.8;0.0;16.2;14.3;9.1;0.0;29.8;0.8;1.2;0.0;4.4;40.8;0.0;16.2;14.3;9.1;0.0;29.8;0.8;50.2;0.0;0.0;4.4;39.5;0.0;16.2;13.1;9.1;0.0;29.8;0.8;50.1;50.1;1.2;0.0;4.4;40.8;0.0;16.2;14.3;9.1;0.0;29.8;0.8;50.2;50.2;50.1
11;3.1;0.0;0.0;3.3;43.0;0.0;0.8;9.2;0.0;9.2;-0.2;28.8;0.0;27.3;9.2;3.1;52.2;0.0;43.0;9.2;28.8;-0.6;-0.6;-0.6;1.2;-0.6;-0.6;-0.6;2.5;-0.6;-0.6;0.0;11.1;-0.6;-0.6;-0.6;9.2;9.2;-0.8;9.2;9.2;9.2;9.2;0.0;8.4;0.0;0.0;2.5;20.0;11.7;2.5;0.0;-0.6;1.9;11.4;3.7;0.0;0.6;-2.5;9.8;-2.5;0.0;1.2;0.0;9.2;0.0;5.6;13.3;2.5;10.1;9.2;13.3;13.3;1.9;1.9;9.2;2.5;0.0;3.3;52.2;0.0;43.0;9.2;28.8;52.2;-0.6;-0.6;9.2;0.0;0.0;12.4;3.1;52.2;0.0;43.0;9.2;27.8;52.2;-0.6;-0.6;9.2;0.0;0.0;10.8;52.2
12;-0.1;0.0;0.0;0.0;34.8;0.0;0.0;15.7;-1.2;15.7;-0.1;35.6;0.0;27.3;6.6;-0.1;42.7;0.0;34.8;15.7;35.6;0.0;-0.8;0.0;-0.6;-2.0;0.0;-0.8;0.0;0.0;0.0;-2.0;13.9;0.0;0.0;0.0;5.8;5.8;1.5;4.7;4.7;5.8;5.8;5.8;3.8;-1.2;1.7;-1.2;7.4;0.7;2.5;1.7;-0.8;6.1;9.1;-0.1;42.7;0.0;34.8;15.7;35.6;42.7;-0.8;0.0;5.8;1.7;-1.3;18.5;-1.2;12.6;23.1;18.0;18.5;-2.0;-1.2;1.1;-1.2;18.5;-0.1;42.7;0.0;34.8;15.7;35.6;42.7;-0.8;0.0;5.8;2.9;42.7;18.5;0.0;41.7;0.0;34.8;15.7;35.6;41.7;-0.8;0.0;5.8;1.7;41.7;17.2;41.7
13;5.6;5.6;5.6;5.5;1.7;11.1;5.6;3.9;5.6;22.7;5.5;6.2;10.8;6.2;0.0;5.7;3.2;13.0;1.5;1.3;23.4;11.3;4.0;5.0;0.0;27.8;6.2;1.5;5.6;5.6;5.6;7.1;5.6;12.0;5.8;7.1;11.1;1.7;5.6;43.1;27.8;6.2;1.7;0.0;5.6;5.6;5.6;5.6;16.6;5.6;17.3;12.6;5.0;5.6;5.6;11.1;1.7;5.6;43.1;27.8;6.2;1.7;0.0;5.6;58.7;5.6;11.1;1.7;5.6;43.1;27.8;6.2;1.7;0.0;5.6;58.7;5.6;59.7;11.1;1.7;5.6;43.1;27.8;6.2;1.7;0.0;5.6;58.7;5.6;59.7;59.7;5.6;1.7;5.6;42.2;27.8;6.2;0.2;0.0;5.6;58.7;5.6;59.7;59.7;59.7
14;-0.1;0.0;1.1;0.0;0.0;2.3;0.0;-3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;1.1;1.2;8.7;1.2;5.5;0.0;-7.1;0.0;-0.1;-2.0;6.5;1.2;-2.4;2.8;2.9;0.0;2.9;0.0;8.3;6.4;8.7;1.1;0.0;0.0;0.0;0.0;1.2;-2.4;7.1;0.6;-0.1;0.0;6.6;0.0;0.0;12.6;0.0;-0.4;0.2;8.7;-0.1;0.0;0.0;0.0;0.0;1.2;-6.0;0.0;35.4;11.6;8.7;-0.1;0.0;0.0;0.0;0.0;1.2;-6.0;0.0;35.4;11.6;44.0;8.2;-0.1;0.0;0.0;0.0;0.0;1.2;-2.4;7.6;35.4;11.6;44.0;44.0;8.7;-0.1;0.0;0.0;0.0;0.0;1.2;-6.0;0.0;35.4;11.6;44.0;44.0;44.0
15;2.8;2.8;2.8;2.8;5.3;2.8;0.0;2.2;2.8;7.2;-5.0;0.0;2.8;10.6;7.2;2.8;2.8;2.8;2.8;4.1;2.8;0.0;2.5;2.8;0.0;7.2;4.1;4.4;-7.8;0.0;2.8;0.0;7.2;0.0;2.8;0.0;-8.1;2.4;-5.0;2.2;2.2;6.2;4.1;0.0;-6.6;0.0;0.0;-5.0;18.2;7.2;-0.2;1.5;11.7;-7.8;6.2;0.0;0.0;2.8;0.0;7.2;12.5;4.4;1.6;0.0;0.0;7.6;0.0;0.0;2.8;10.6;7.2;31.0;2.8;4.1;0.0;6.2;-4.3;12.5;0.0;0.0;2.8;10.6;7.2;31.0;2.8;4.1;0.0;6.2;-4.3;12.5;37.5;0.0;0.0;2.8;10.6;7.2;31.0;2.8;4.1;0.0;6.2;-4.3;12.5;37.5;37.5
16;9.9;3.5;9.9;3.5;9.0;3.5;0.9;5.6;9.6;0.0;4.7;17.7;15.8;0.0;0.0;3.5;9.9;3.5;3.5;6.4;21.3;3.5;13.0;3.5;0.0;0.0;0.0;3.5;3.5;5.5;3.5;20.8;0.0;0.0;3.5;22.5;3.5;5.5;3.5;20.8;0.0;0.0;3.5;22.5;48.6;7.5;6.4;4.4;5.7;6.6;0.0;11.9;-3.0;39.9;39.9;0.0;6.4;4.4;21.3;0.9;0.0;5.5;32.1;13.3;13.3;10.5;-0.9;5.5;2.6;5.7;-1.7;0.9;8.5;-0.9;-0.9;-0.9;19.4;0.0;3.5;5.5;3.5;20.8;0.0;0.0;3.5;19.9;45.4;45.4;32.0;3.7;-0.9;3.5;5.5;3.5;20.8;0.0;0.0;3.5;22.5;48.6;48.6;39.9;13.3;-0.9;45.4
