;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
17;3.0;15.7;15.7;5.5;8.5;7.6;18.4;11.9;15.7;5.5;0.0;2.7;6.5;0.0;0.0;9.2;0.0;15.7;10.3;14.7;4.8;9.2;16.8;15.7;5.5;14.7;0.0;9.2;9.2;16.8;15.7;17.1;9.2;11.5;9.2;9.2;17.6;0.0;6.5;5.5;5.5;0.0;0.0;0.0;10.0;10.9;2.7;7.6;9.0;11.6;1.1;5.9;0.0;9.2;0.0;26.8;2.7;6.5;5.5;5.5;0.0;0.0;0.0;9.2;53.1;1.1;26.8;2.7;6.5;5.5;5.5;0.0;0.0;0.0;9.2;53.1;1.1;55.8;26.8;2.7;6.5;5.5;5.5;0.0;0.0;0.0;9.2;53.1;1.1;55.8;55.8;26.0;2.7;6.5;5.5;5.5;0.0;0.0;0.0;9.2;53.1;0.0;55.8;55.8;55.8
18;1.4;-1.1;1.4;-1.1;2.2;-1.1;-4.5;2.5;-4.8;0.0;0.0;15.8;0.0;0.0;0.0;-1.1;1.4;-1.1;-1.1;-1.9;4.7;0.4;2.5;-3.0;1.3;0.0;0.0;-1.9;2.0;2.5;-2.2;0.0;0.0;0.0;-1.9;-0.8;-1.1;3.3;-1.1;6.0;0.0;0.0;-1.1;19.7;0.0;0.3;12.1;0.3;10.1;4.0;8.8;7.7;27.9;4.0;4.0;-1.1;3.3;-1.1;6.0;0.0;0.0;-1.1;22.8;0.0;54.9;12.8;2.8;12.1;2.8;6.0;0.0;0.0;7.7;3.1;3.9;-0.1;8.8;15.7;-1.1;3.3;-1.1;6.0;0.0;0.0;-1.1;10.5;-0.8;41.4;12.8;45.5;15.7;-1.1;3.3;-1.1;6.0;0.0;0.0;-1.1;22.8;0.0;54.9;12.8;57.9;15.7;45.5
19;4.7;0.6;4.7;0.6;8.7;0.6;6.9;4.1;7.3;9.9;5.6;13.8;10.3;0.0;0.0;0.6;4.7;0.6;0.6;11.8;5.9;1.9;4.1;1.9;0.0;11.2;0.0;1.9;1.9;4.1;2.3;-0.6;11.2;0.0;1.9;1.3;0.6;4.1;0.6;34.0;9.9;0.0;0.6;12.0;1.3;0.6;2.8;0.6;34.0;9.9;0.0;0.6;24.3;0.0;41.4;14.8;24.9;5.9;34.0;20.3;3.0;3.9;3.0;5.0;3.3;3.0;0.6;2.8;0.6;34.0;9.9;0.0;0.6;24.3;0.0;41.4;51.1;3.0;0.6;2.8;0.6;34.0;9.9;0.0;0.6;24.3;0.0;41.4;51.1;3.0;51.1;0.6;2.8;0.6;34.0;9.9;0.0;0.6;24.3;0.0;41.0;44.3;3.0;44.3;44.3
20;4.0;-1.0;-0.9;11.6;4.7;20.6;47.0;-2.1;-0.8;11.6;0.0;0.1;-0.7;11.6;39.9;8.0;0.3;-0.8;35.9;0.2;0.3;-4.0;1.6;-1.1;11.6;-0.1;39.9;0.1;0.0;9.2;-1.1;13.1;-0.1;39.9;0.1;-0.1;6.0;6.6;27.5;6.0;6.0;6.0;6.7;6.0;6.0;23.9;0.1;-1.0;11.6;44.2;39.9;0.2;-0.1;0.0;6.0;23.9;0.1;-1.0;11.6;44.2;39.9;0.2;-0.1;0.0;6.0;52.6;0.1;0.1;-0.9;9.7;0.9;0.1;0.3;0.0;2.2;8.2;0.1;0.1;16.3;0.1;-1.0;11.6;44.2;39.9;0.2;-0.1;2.1;6.0;51.9;51.9;0.1;23.9;0.1;-1.0;11.6;44.2;39.9;0.2;0.0;0.0;6.0;52.6;52.6;0.1;51.9
21;2.2;3.2;2.2;6.0;0.0;7.7;3.2;3.2;3.2;19.7;3.5;0.3;2.2;1.3;1.3;1.2;-3.0;1.2;-3.0;27.7;1.5;3.0;-1.3;4.9;-0.5;34.3;3.8;-1.3;3.2;2.2;3.2;0.2;3.2;3.2;1.2;1.9;3.2;0.0;3.2;27.1;27.7;1.3;-3.0;1.7;3.2;3.2;0.0;3.2;27.1;27.7;1.3;-3.0;1.7;3.2;46.7;3.2;0.0;3.2;27.1;27.7;1.3;-3.0;1.7;3.2;46.7;53.2;3.2;2.2;3.2;1.0;3.2;2.2;0.2;4.9;3.2;3.2;3.2;3.2;3.2;0.0;3.2;27.1;27.7;1.3;-2.0;1.7;3.2;46.7;52.8;52.8;3.2;3.2;0.0;3.2;27.1;27.7;1.3;-3.0;1.7;3.2;46.7;53.2;53.2;3.2;52.8
22;7.9;4.3;12.8;9.7;0.0;11.1;34.2;4.8;4.3;9.7;4.4;8.5;12.8;9.7;16.0;0.0;8.5;12.8;5.7;0.0;8.5;0.0;-0.6;4.3;9.7;0.0;28.9;0.0;11.7;0.2;4.3;9.7;0.0;28.9;0.0;0.0;25.8;7.9;12.8;9.7;24.8;28.9;0.0;-0.6;0.8;6.3;14.2;18.3;24.8;19.4;34.3;6.3;6.3;6.3;6.3;8.5;8.5;12.8;17.5;17.3;8.5;8.5;8.5;11.9;8.5;14.8;26.9;7.9;4.3;9.7;24.8;28.9;0.0;-0.6;0.0;53.7;6.3;8.5;26.9;7.9;4.3;9.7;24.8;28.9;0.0;-0.6;0.0;53.7;6.3;8.5;53.7;26.9;7.9;4.3;9.7;24.8;28.9;0.0;-0.6;0.0;53.7;6.3;8.5;53.7;53.7
23;6.0;0.7;6.0;10.2;12.5;8.5;11.0;6.0;0.7;9.5;5.3;5.3;-0.4;2.0;2.0;0.7;6.0;0.7;7.9;4.5;-4.5;9.1;5.3;0.7;29.5;9.5;2.0;0.7;9.1;5.3;0.7;29.5;9.5;2.0;0.7;42.5;11.9;6.9;1.8;2.0;2.0;2.0;-2.1;2.0;2.0;12.5;5.3;0.7;31.0;0.0;2.2;3.3;12.7;12.7;0.0;8.4;12.1;9.1;6.9;0.0;2.0;3.3;32.7;32.7;0.0;-3.3;9.1;5.3;0.7;7.2;9.5;2.0;7.9;18.7;18.7;2.0;-5.9;-4.1;9.1;5.3;0.7;29.5;9.5;2.0;0.7;42.5;42.5;2.0;12.7;32.7;18.7;9.1;5.3;0.7;16.5;5.7;2.0;0.7;38.1;38.1;2.0;10.8;26.1;5.6;38.1
24;3.8;0.9;3.8;8.3;9.2;-0.8;3.6;9.0;0.9;14.3;13.4;19.7;11.6;12.4;0.0;17.3;9.2;18.2;6.3;35.7;21.6;11.1;13.4;9.2;16.9;9.3;23.6;12.2;0.9;3.8;0.9;7.2;6.2;13.6;15.5;11.4;3.6;2.9;0.9;35.6;29.8;12.4;6.3;2.3;0.9;0.9;3.8;0.9;7.3;12.1;11.6;7.2;13.2;0.9;0.9;3.6;2.9;0.9;35.6;29.8;12.4;6.3;5.9;0.9;45.2;0.9;3.6;2.9;0.9;35.6;29.8;12.4;6.3;5.9;0.9;45.2;0.9;45.2;0.9;2.9;0.9;28.4;15.0;12.4;17.5;5.9;0.9;41.0;0.9;41.0;41.0;3.6;2.9;0.9;35.6;29.8;12.4;6.3;5.9;0.9;45.2;0.9;45.2;45.2;41.0
25;10.2;10.2;33.6;13.8;5.5;5.5;11.4;0.0;0.0;0.0;6.7;22.9;22.9;5.5;0.0;10.6;0.0;0.0;12.0;17.8;0.2;4.4;0.0;0.0;21.5;8.7;0.0;4.5;4.6;-0.6;-0.6;5.5;0.0;-0.6;4.6;-0.6;10.2;33.6;33.6;5.5;0.0;22.9;0.0;0.0;-0.6;4.4;4.4;4.4;11.2;7.2;3.8;3.8;4.4;3.2;4.4;10.2;14.0;14.0;9.4;0.0;24.8;0.0;-0.6;9.5;14.0;4.4;15.0;0.3;0.3;6.0;3.3;-1.5;2.3;-0.3;-0.3;0.3;4.1;0.3;4.4;32.8;32.8;5.5;0.0;22.9;5.9;0.0;-0.5;32.8;4.4;11.6;0.3;10.2;33.6;33.6;5.5;0.0;22.9;0.0;0.0;-0.5;33.6;4.4;14.0;0.3;32.8
26;8.2;2.0;8.0;10.3;16.3;10.1;2.2;6.0;2.0;4.7;0.0;26.3;3.1;0.0;0.0;2.2;5.0;2.0;18.5;2.2;14.2;0.0;8.8;-0.2;10.7;24.2;6.0;9.0;2.2;8.8;-0.2;4.7;45.0;0.0;2.2;24.3;2.2;8.8;-0.2;4.7;45.0;0.0;2.2;24.3;45.2;12.5;20.5;10.1;15.0;10.3;14.4;12.5;20.7;10.3;10.3;12.3;16.3;10.1;10.3;10.3;28.2;12.5;17.1;10.3;10.3;10.3;0.0;8.8;-0.2;15.0;31.4;0.0;12.5;5.1;38.1;38.1;10.3;10.3;2.2;8.2;-0.2;4.7;42.3;0.0;2.2;12.4;43.0;43.0;10.3;10.3;12.4;2.2;8.8;-0.2;4.7;45.0;0.0;2.2;24.3;45.2;45.2;10.3;10.3;38.1;43.0
27;29.6;6.6;0.0;29.6;55.7;0.0;0.0;0.0;13.7;0.0;10.7;11.9;0.0;11.9;0.0;3.7;2.0;2.0;2.0;3.7;14.4;7.5;5.8;5.8;5.8;36.2;16.5;7.8;14.1;9.5;2.9;9.5;21.4;6.7;2.0;7.8;10.7;45.4;0.0;45.4;0.0;11.9;3.7;5.8;15.7;7.1;0.0;13.8;0.0;13.7;2.9;-1.0;5.8;7.5;3.7;0.0;0.0;5.8;0.0;0.0;20.4;5.0;14.3;8.1;11.0;-3.0;7.1;0.0;-0.2;0.0;0.0;11.9;3.9;5.6;9.5;45.4;0.0;0.0;27.3;55.3;0.0;55.3;0.0;11.9;2.0;7.8;2.0;44.6;4.1;0.0;14.9;29.6;55.7;0.0;55.7;0.0;11.9;2.0;5.8;9.5;45.4;0.0;0.0;0.0;55.3
28;14.2;5.5;14.0;22.1;6.8;-2.3;7.1;17.4;11.8;14.6;22.7;20.5;4.2;0.0;0.4;22.3;6.8;6.6;6.8;32.4;8.9;14.7;6.8;4.0;20.2;30.2;9.2;6.8;5.7;12.5;5.5;12.5;7.1;7.9;12.5;12.5;5.7;6.8;-0.2;36.5;28.6;0.4;6.8;4.2;5.7;5.7;6.8;-0.2;36.5;28.6;0.4;6.8;0.0;5.7;49.0;5.7;12.5;5.5;14.5;16.3;16.7;23.9;18.7;5.7;5.7;5.7;15.5;6.8;-0.2;11.4;5.4;2.6;6.8;11.4;12.5;32.3;32.8;7.9;5.7;8.5;-0.2;34.4;28.6;0.4;8.5;0.0;5.7;47.9;51.2;5.7;27.7;5.7;6.8;-0.2;36.5;28.6;0.4;6.8;4.2;5.7;44.9;44.9;5.7;20.7;43.8
29;15.2;11.2;7.9;28.8;4.1;0.5;11.1;7.5;3.5;2.2;13.3;15.5;13.4;2.2;2.2;15.2;4.1;6.0;4.1;7.8;6.3;11.1;6.8;-0.8;6.8;5.3;3.8;6.8;14.9;7.9;3.9;7.9;3.8;16.7;9.7;10.6;11.1;10.0;5.0;1.6;0.0;0.0;6.8;2.7;15.6;11.1;4.1;0.1;4.1;0.0;13.3;4.1;9.6;3.8;7.5;11.9;4.1;0.1;4.1;3.7;2.2;4.1;4.1;7.9;4.3;4.1;11.1;4.1;0.1;12.9;3.7;2.2;4.1;0.0;3.8;4.3;28.1;12.8;11.1;4.1;0.1;12.9;3.7;2.2;4.1;0.0;3.8;4.3;28.1;12.8;38.1;11.1;4.1;0.1;12.9;3.7;2.2;4.1;0.0;3.8;4.3;28.1;12.8;38.1;38.1
30;8.4;8.2;-0.2;23.4;6.6;11.6;8.4;43.8;-0.2;6.6;18.2;0.0;2.5;0.0;0.0;8.4;8.4;8.2;15.6;8.4;20.0;8.4;43.8;-0.2;6.6;43.8;0.0;8.4;11.9;3.5;11.7;19.3;3.5;16.3;8.4;3.5;12.2;10.0;5.7;6.6;10.0;0.0;4.2;10.0;0.0;10.0;7.1;1.8;2.0;7.1;4.8;11.9;7.1;5.5;8.5;20.4;0.0;5.0;11.8;0.0;0.0;13.6;0.0;2.9;-1.3;4.3;12.7;2.0;1.8;8.6;2.0;5.2;13.9;2.0;5.5;18.0;2.0;2.0;10.7;39.7;2.3;6.6;39.7;0.0;12.9;39.7;6.7;10.0;5.1;0.0;18.5;8.4;43.8;-0.2;6.6;43.8;0.0;8.4;43.8;3.5;10.0;7.1;0.0;2.0;39.7
31;6.6;11.5;11.5;6.6;26.5;0.0;6.6;11.5;0.0;0.0;11.6;6.6;2.1;0.0;0.0;1.3;23.3;2.2;7.2;19.1;5.8;22.2;19.9;12.8;7.0;10.6;12.8;6.2;19.4;22.4;37.1;18.1;0.0;0.0;29.5;8.8;7.9;10.9;18.7;0.0;0.0;21.6;1.3;12.8;18.1;5.6;4.3;14.4;41.2;23.7;4.3;23.7;13.1;22.4;4.3;9.9;22.3;2.0;3.8;9.8;8.0;15.0;14.8;8.0;2.0;12.3;7.9;10.9;27.2;0.0;0.0;21.6;1.3;12.8;18.1;55.5;4.3;2.0;7.9;10.9;27.2;0.0;0.0;21.6;1.3;12.8;18.1;55.5;4.3;2.0;59.5;6.6;6.6;17.8;0.0;0.0;21.6;1.8;12.8;18.1;51.3;22.4;2.0;54.3;54.3
32;-0.5;7.9;4.2;0.0;2.2;3.3;-1.7;-1.7;3.3;0.0;-0.5;10.5;5.7;0.0;7.6;15.9;17.3;19.7;16.4;16.4;16.8;4.6;0.9;3.3;0.0;-0.6;0.0;17.3;4.5;0.8;3.3;0.0;0.0;27.4;16.4;0.0;0.0;7.5;12.2;0.0;0.0;0.0;16.9;0.0;16.4;4.1;0.4;3.3;0.0;0.0;18.6;16.4;0.0;0.0;0.0;4.1;0.4;3.3;0.0;31.4;18.6;16.4;11.5;-0.1;0.0;0.0;4.1;0.4;3.3;0.0;31.4;18.6;16.4;11.5;-0.1;0.0;0.0;53.3;4.1;0.4;3.3;0.0;31.4;18.6;16.4;11.5;-0.1;0.0;0.0;53.3;53.3;0.0;-1.7;3.3;0.0;0.0;0.0;16.4;0.0;16.3;0.0;0.0;0.0;0.0;0.0
33;10.2;10.2;48.6;7.5;0.0;0.0;12.5;0.0;0.0;0.0;6.8;42.2;42.2;0.0;0.0;11.6;25.1;25.1;0.0;0.0;13.9;14.9;9.5;9.5;18.7;12.6;9.5;10.9;5.4;0.0;0.0;17.1;6.3;0.0;1.4;14.9;8.0;19.1;19.1;0.0;0.0;15.9;-6.5;9.5;6.8;4.7;-0.7;-0.7;10.4;3.1;9.4;3.8;8.8;-0.7;3.8;5.4;0.0;0.0;6.4;0.0;0.0;12.5;9.5;5.4;0.0;4.9;8.7;0.0;0.0;0.0;0.0;6.3;0.0;17.3;-1.5;1.5;7.1;7.8;4.8;45.2;45.2;0.0;0.0;38.4;17.1;9.5;0.0;19.1;3.8;0.0;0.0;10.2;48.6;48.6;0.0;0.0;42.2;25.1;9.5;0.0;19.1;-0.7;0.0;0.0;45.2
34;-0.8;2.3;-0.8;9.3;10.0;4.4;2.3;0.0;0.0;0.0;4.1;-0.8;5.6;4.4;0.0;5.2;7.8;5.7;25.2;12.4;8.1;2.1;-0.8;2.3;12.7;7.5;0.0;8.1;4.9;1.8;0.0;9.3;5.5;5.1;14.2;2.9;6.3;0.0;0.0;0.0;0.0;0.0;20.8;2.4;0.0;9.3;3.3;4.6;22.7;13.8;7.8;9.8;4.1;9.0;12.2;11.6;-0.8;13.2;4.4;0.0;19.1;5.2;0.0;0.0;0.0;4.1;11.6;-0.8;13.2;4.4;0.0;19.1;5.2;0.0;0.0;0.0;4.1;33.6;11.6;-0.8;13.2;4.4;0.0;19.1;5.2;0.0;0.0;0.0;4.1;33.6;33.6;1.5;-0.8;13.1;4.4;0.0;19.1;5.7;0.0;0.0;0.0;4.6;33.3;33.3;33.3
35;2.9;1.8;1.1;6.5;0.0;0.0;3.8;5.0;0.0;0.0;-0.3;1.7;3.2;0.0;5.3;6.4;1.4;3.2;13.5;4.1;4.3;4.8;11.5;0.0;0.0;0.0;4.6;4.6;7.1;8.5;0.0;0.0;0.0;12.1;4.6;0.0;1.1;0.0;17.1;0.0;0.0;0.0;4.6;4.6;0.0;1.8;10.3;3.9;17.3;12.0;1.8;6.4;10.3;10.3;12.0;12.0;5.8;7.3;7.3;7.3;19.9;7.2;7.3;11.1;5.8;10.5;1.8;1.1;0.0;5.1;0.0;5.1;6.4;0.0;5.4;5.1;1.8;12.6;1.8;31.3;0.0;0.0;19.7;12.1;4.6;3.0;17.4;0.0;1.8;5.8;16.9;1.8;31.3;0.0;0.0;19.7;12.1;4.6;3.0;17.4;0.0;1.8;5.8;16.9;51.4
